post	label
pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances	2
tarique is a fucking actor 😂	0
<user> bernardo is just a white honky	2
<user> <user> <user> more like authocratism the chinese are no facists but they would be on this like flies on a shit	0
i raped the jews because it bombed dave	0
<user> lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it	0
i keep finding out that these bitches i am stanning are like <number> max	0
why is anna acting like she black 😊	0
whyte men that workout switch harder then women ol jiggly booty	0
you all are sophomores in high school now why aos you wanna bring shit up and charge her scheme ass little girl	0
you bitches are real life weirdos	0
trust me karma is a bitch 😉	0
from <date> to <date> the office of refugee resettlement received a total of <number> allegations of sexual abuse or sexual harassment from the government funded detention facilities and only <number> were referred to the justice dept	0
<user> no ma am please do not twist the matter no indian muslim would be thrown out only muslim refugees would be shown the door after all muslims have <number> countries to go to while hindus have only one india see in this context	0
the chink salivates as the salamander cries out in extinction	2
<user> <user> <user> <user> <user> follow the thread they are the many people who do not know the difference between illegal immigrant refugee asylum seeker etc	0
<user> this is difference between illegal muslim refugee who are rohingyas and all the muslim please talk with some sense	0
<user> you need potassium eat a banana you fucking nigger	2
<user> woman beauty then she went on this woman instagram page and wrote disgusting comments on nearly every pic this woman posted saying why you so white you have no melanin ew he ugly he needs son regarding a baby saying her other grand kids was trailer trash etc	0
so none of you all hoes want to get that waist snatched hurd it	1
honestly man most of you guys are nigger faggots	2
old dude just opened the sauna door stared in here for <number> seconds and walked away close the door faggot	1
theres dead silence fuck niggaas	0
<user> club diego tho stripper poles stripper hoes	0
he just throwing that hoe up	0
ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything	2
make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing	2
what a pakis favorite clothing brand jihadidas	1
through the security council of the united nations colonialist powers have always ensured the division and occupation of muslim lands themselves or assisted others in doing so یو این چھوڑ خلافت لا کشمیر کو آزاد کرا	0
amber guyer this shot a man in his own place bitch got what she deserved justice for botham jean	1
a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick	2
every barber shop has a slut that one nigga that goes to any barber to get his haircut and has no sense of barber loyalty it me i am the slut	0
fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk	2
<user> everything is rape culture and toxic you disagree with a view i hold i hope you get raped 🧐	0
why are we having all these people from shithole countries coming here	2
<user> these countries will not reveal their methods and capabilities for trump although no doubt the australian pm would be tempted they loathe his shiny white ass but they know he will be gone soon enough with or without their help	0
the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea	2
<user> rape culture is just that culture and it is sickening unfortunately non of the higher ups can understand it because they are all white males who have never had to face anything	0
people are getting pissed about the evil muzrat cult and gov t complicity	2
wonder what fatso had for dinner today lollers roanna fish pie i think	0
angry bald dyke	2
if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions	2
<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish	2
i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled	2
washed my white shoes they are so clean and bright 🌞	0
<user> nice burner account nobody names their kid edwina unless they are georgia trailer trash	1
isaac newton alan turing leonardo da vinci florence nightingale alexander the great william shakespeare oscar wilde julius caesar abraham lincoln michaelangelo virginia woolf and fucking zeus were all queer to some degree lgbt excellence 🤭	0
un*merce <censored> is just another white bitch trying to look as black as possible	1
like brazil many are descendants of west africa social constructs labels classifications have ruined a many people who falsely self identify as white or just do not even know abt their native land all b c of them bum ass caucazoids aka caucasians	1
going right to my white boy in raleigh	0
fuck you all hoes	1
this is the year you all get r kelly the fidduck out of here sick of that nigger	2
sesso gratis mature sexy celeb feet free big movies lokal saxy video white halter bikini top	0
all women are actresses i am just clever enough to be paid for it grace	0
for the spice golden capricorn reduce white roots sun nuts sunflower powders fluro grey nuts fluro sun set powders	0
hispanic immigrant dads are literally so wholesome being raised to not show emotion but then showing it about the smallest things they did not have as kids is the purest thing	0
you tell a nigga that we just fucking he hit me with the so when u become my bitch boy what 🙄	0
you niggers blow my mind	2
all my bitches gay do that make me a dyke	0
the nigger is a true snake charmer	2
i wanna start twitter beef with a white christian mom	0
<user> obama wasn t black he was a mulatto he had a white mother if anything this was a case of racism against caucasians mother thrown to the side barry treated like the lion king what was up with that moral compass jimmy swaggart special edition compass 😂 😂 😂	0
love the idea that feminism has corrupted women into hating the thought of being a housewife when like half the dykes i know can not shut up about one day living on a farm with their gf	0
look fuck you fuck the plane you flew in on fuck them shoes fuck those socks with the belt on it fuck yo gay ass fairy faggot accent 👀	1
everyone should be using duck duck go as a search engine they do not track you and they are not globalist queers ix quick is good too but their search results are not always that great you should also be using brave firefox or tor as a browser boycott silicon valley boycott globalism	0
<user> literally no one cares oh look we got a white person to complain about this wow good job	0
<user> i got raped by an alien did not i	0
<user> i am dead i fucking hate you 😂 😂 😂	0
<user> mr levin is there no legal action the president can take to stop this harassment	0
<user> we can also throw in there her support for ira violence racist comments about white people blind support for bolivarian economic farce the stupid gift that keeps on giving	0
<money> says the kid was a beaner and another <money> says the driver was a beaner too	1
twitter is full of tween dykes who think they are superior to everyone because of muh oppression news flash no one gives a shit	1
remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey	1
lowlife msm trying to link the guy who rammed a van into moslems in nrth londonistan to tommy robinson britain first well if it linking to anti moslem patriots with brains then about <percent> of uk are there	1
<user> <user> <user> <user> not aware of any religion that says your not allowed to exist not aware of any religion that says you can think you are a girl nor is their any religion except islam that forbids homosexuality	0
thinks spic is mexican thinks they are right thinks they are smart 🤔	1
my family crest is a fucking dragon bitch 🐉 🐲	0
<user> <user> <user> <user> kick that raghead out of america	2
me sobbing you can not just declare everything queer representation disney pointing at a bat and an owl gay	0
did not we used to condemn liars criminals conmen tax avoidance philanderers corruption collusion pollution deadbeat parents thieves violence threats etc etc wasn t that a thing i quite liked that thing back in the day when opinions mattered brexit britain	0
nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too	2
you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable	2
can not believe my contract got renewed another <number> months lol but that also means i am working on christmas now which is super gay	0
the queers and lezzies are overstepping their boundary which ends at the closet threshold	1
wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great	2
rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed	2
<user> they switch up like faggots	1
ok so i have been off twatter for some time now so i may just be rusty but has leftist kike trolling actually gotten worse in quality than it was a year or so ago	0
<user> speaking as part of the maybe some others i am older and white but also a cis gay man not lesbian i loved the indigo girls since the <number> more recently saw them along w mary chapin carpenter and joan baez in charlottesville four voices <number> years ago	0
<user> fine whatever fuck you too then	0
<user> was screaming racial slurs sexual harassment towards the woman comic calling her a slut talking shit about gays using faggot went to go use the restroom and got into an altercation outside because he was pissed there were gender neutral bathrooms	0
your muzrat gov t will never allow brexit	2
so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters	2
fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane it was worth the <number> days you are still a man hating fat dyke rosie lol	2
excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡	2
<user> this ugly kike cunt keeps showing up on my timeline	2
so disappointed in the super bowl game i only shot <number> coons and no possums or coyotes or fox i d be a millionaire if i had non mangy coyotes or foxes the coons are not more than ornaments gamo whisper brain junker at <number> yards	0
ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol	2
<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops	2
yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists	2
the muzrat trash call everyone a racist	2
catholic church since preacher frankie took over a catholic church cemetery in italy where a nativity scene had been displayed every christmas for decades the preacher decided that it will not be displayed because it might hurt some muzzie feelings a top commandment of the gospel is to witness	1
ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer	2
bex bailey raped at <number> yrs of age <number> yr old girl in rotherham raped by <number> paki muslims all labour voters in labour held councils and labour protected the rapists liz kendall mp and all 6 5 0 mps disgusts me to my core and they all need destroying	1
she did not dyke her haircut did she dat bod tho	1
i have a dream that one day little black boys and girls will be holding hands with little white boys and girls martin luther king jr	0
<user> these five women hung back while their constituents begged them to support impeachment while <user> <user> <user> <user> took the brunt of harassment from media and gop the leaders here are women of color these five white women followed eventually	0
<user> well i am halloween so fuck you too	0
anybody watching tucker carlson right now fucking beaner has been in the country since <number> years old and still cant speak proper english for fuck sake makes me want to pull my hair out	1
i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>	2
hillary to degenerate one dyke to another	1
when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot	2
q what do a nigger and a medium domino pizza have in common a they both can not feed a family of <number> <user>	2
good riddance to bad nigger garbage	2
and all this butthurt faggotry just makes me want to join twp to spite you queers	2
saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson	2
white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa	2
fucking white bread with the crust taken off smushed into a little ball that hogdiggedyddmon keanu reeves pig	0
harry kane is a fucking fanny if he was foriegn the commentators would be going on about how bad diving is in the game absolute wankers	0
we once went to freedom city to watch golola moses fight a thailand nigga ssebo was knocked out in <number> secs	0
searches surugaya for the one wamujaku doujin i want sadly closes tab cuz they do not have it	0
swear these niggas some females now	0
wow is that someone drinking water wow my queer ass homoerotic anime man drank water is this a jojo reference is this a stand i cannot fucking stand you retard	0
it really october and my car was <number> degrees when i got in it after work i fucking hate you boomers u ruined this planet and robbed us of our fall die off already fuck	0
<user> coming from a rag head no less	2
silver medicine in my pants skrt this nigger ass clap	2
anyway justine as called max a slur justine has been cancelled max is a free dyke now	0
if i followed you and you did not follow back fuck you i got suspended if you did not know faggots	2
in all seriousness there a probability of moslem men attending the million woman march and sexually assaulting them i hope i am wrong	1
this white boy was like wyd and i said i was at work i swear to god he asked me what i was wearing and said my work uniform	0
wishing the happiest birthday to my favorite crackhead <user> love u bitch	0
i knew d wade was gay	0
is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides	2
better to kill the kike first	2
<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions	2
<user> agusta main or texes which state you live in tossa people want to catch up with you are you scared little nigger or what	2
bill clinton is an evil creature um maybe slick is a mussie rapist all this time	1
<user> <user> <user> my pasty white ass needs it for real tho heather u and ur hubby should join us next time make it a pftpm posse remote meer up	0
<user> <user> <user> <user> imran khan and the entire p gistan 🇵 🇰 the jihadi radical islamic terrorists supremacist nation which is full of jiahdi terrorists radical terrorist p gs 😂 😂	0
<user> <user> <user> <user> <user> <user> <user> <user> most excluded are hindu refugees not economic muslim migrants hindus are killed raped forcibly converted in pakistan and bangladesh entire nrc is a farce	0
<user> white people made it illegal to rape woman you are welcome	0
this is why niggas like that get away with shit u missed the whole fucking point he raped a woman so them telling other women to warn them thats wrong tf shit really irks me	0
<user> <user> courtney i d love to see a picture of you and obama together what year was it that you meant him and did you ask him about bombing <number> muslim countries and destroying <number>	0
considering that i am queer and to an extent neurodivergant i realize that it is a possibility that i could be the target of violence though make no mistake right now i as a white bisexual man have a much lower chance of assault than say a black trans woman	0
<user> i will drive my white ass down to dallas from new york and stand right there with you justice botham jean amber guyger murder trial life in prison	0
<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor	2
i am offended because nigger faggot kike spic chink gook cracker	2
just saw on here that he used to go by the name of joker on twitter if so then i am pretty sure i have come across this paki creature in passing before my ban hes not very popular on there is he	1
this what happens when little adam is way smarter than his fat dyke lib teacher	2
sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too	2
biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga	2
the libtard setback for the moslem refugee ban just tells trump what needs to be corrected and who fucking things up for the american people when scalia replacement is named it back to the ban	1
ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together	0
<user> we have never seen any fabricates of whites being harassed as breaking news in our countries in my neighborhood one white lady pressed some serious charges against a black boy for harassment after much investigation it was found that she was just lying it wasn t a breakingnews	0
all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden	2
excited for dam with bitches	0
ho keep sayin in the1 dior on my bitch and flood myself in saint laurent ⭐ ️ ⚠️	0
that nigga rob said drums over flats and a proud bleu cheese advocate and you all let that boy talk crazy bout food to you all smh	0
free viewing of ghost bait until whoever is charge at travel channel catches wind of it	0
a retard being questioned by good cop and his sidekick bad cop	1
<user> should have been removed the last time he threatened this but making laws against people brown people black people gay people female people sick people poor people homeless people refugee people is more important than protecting our democracy of the people <user>	0
<user> <user> coming from someone who finds it necessary to kill all the cows in this country in the name of global warming	0
<user> he will take our rights away one at a time banning lgbt rights and then going back to all white segregations and etc his now evangical base is trying to take over america its all bad bad and needs to be stopped	0
we owe hillbilly aggy a serious ass whipping a serious one	0
<user> <user> the skinnies have not been oppressed ok you acting like them white people when we start saying blm now 😂	0
so you are gonna be loud on ig about rapists and stick up for women yet you have raped and abused multiple women including myself and told your mrs i am just your crazy ex and that why i hate you pick a fucken side you sick fuck	0
<user> like someone will say nigga to be cool bc it in song but they do not fuck w black ppl you piss them off and they are calling you a nigger it not the same	0
that redneck stuff damn hillbilly ppl	2
shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak	2
the first white president since were going into skin color now obama was the first nigger president lets return to the good old times	2
there was no islamic holy violence prior to <number> retard slav nigger	2
depeche kike personal hitler remastered video	2
sadiq khan london moslem mayor warns tory police cuts means future terror attacks more likely it is not police cuts that make terror attacks more likely it is the moslems in the uk who make terrorist attacks more likely	0
did you know the only time moslem women can walk before men	0
<user> nope they should be praying i dont have a new nigga bitch by time they get out	0
refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim	2
you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron	2
<user> exactly why she the way she is the bitch is uncultured filth	1
<user> <user> yes even radical muzzies planning to take over america over <number> are running for office and <number> just in congress i will not support the muslim brotherhood i am not stupid any more than i would vote for socialism screw the dems	0
so in new york if you say illegal alien you will be fined <money> <number> it you are attacked or raped by an illegal alien it a crime to call ice hm kinda fucked up to be an american in new york	0
egyptians in <number> bc be like omg what am i gonna wear today and then open their closet full of white linen lmfaoo 🤣 🤣 🤣	0
<user> both dialogues sound like something black people would say not whites	0
<user> you know you get no girls you look like a bitch you let silent bitch you you always buy shit for him and suck him off get off my twitter feed queer	1
ive never understood it everty moslem should have been expelled by <number> <number>	0
<user> what does this concern for queer theory in schools have to do with a homophobic account	0
my mom and i were in the produce section of the supermarket she points in the general direction and just speaks in mandarin want ching chong i did not know what she said so i just start guessing everything in sight mushrooms pumpkins she went and picked up a pineapple	0
<user> dude got <number> million votes and much of the press seems to think they were all white trash nazis trying to bring back segregation it so dumb	0
and all the muzzies in the world combined	1
if another white person has the caucasity to talk over me again i am trow hands 👊 🏽	0
<user> well technically he was referring to a white bitch on go get it so ok	0
<user> but yeah fuck them white devils	0
i do not think my bf knew what he was getting in a relationship with cause i will shoot his white ass if he keep leaving me on read	0
<user> <user> poor buggers perhaps they should not have raped and beaten children	0
<user> remember when ebola was in american news and all white people there got scared when they are not even close to africa	0
you are banned remember white boy	0
i know its hard being queer in the lgbt community generally so positive vibes for everyone ☆ ♡ ☆	0
i remember when vontaze burfict almost killed that nigga ab on the field wit that hit 🤦 🏾 ‍ ♂️ 😭	0
watching the rugby game and the entire other team has long hair this feels antithetical to the dyke ethos of it all	2
a greedy man always has his eye on his wife pot — cameroonian african proverbs ☼	0
is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown <user>	2
lol at <user> thinks he a dothead kike lol	2
lol at <user> thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again	2
showa time for this fucking kike	2
<user> ian timings opinions are only those of a nigger cock sucker therefore they are invalid <number> kk	2
you all think dolphins have a form of what up my nigga	0
o this white gurl liked chocolate dick	0
bitches w big tits and no ass built like an improper fraction	1
<user> <user> why does lindsey tweet he posts something dumb and then gets dragged	0
that what my old man did he was one of those assholes that liked to fight lol knowing how to fight may not save you from a gun or nigger pack attack but it let us you go thru school without worrying about being sum1 bitch	1
<user> do you remember saying that nazi are very fine people i d say your wishes are absolute bullshit	0
folks i do not wana be greedy so today i ama start da same program i had on twitter so here it is da first nigger who can retweet dis go win a free cup of shit to eat ok go	2
titty job prolly the most foo shit a bitch could do	1
<user> called it hours ago and this kike rat would not reply to my calling him out either part time shit tier jidf making some extra shekels lol they are not sending their best yet	2
<user> i want to punch trudeau then those muslimes	2
the way he sees it is that whites are evil he is at war with whites sall good he rich now nigger rich	2
christians are commanded to come out and be separate muzzies and christians cannot co exist as muzzies just want to kill everybody all the time so somebody has got to go	2
niggas can be whoever they want to be in tweets got to remember that when you are online dating	0
so that white powder must have been sodium percarbonate	0
<user> chinaman satanist lee hsien loong biggest cowards criminals keep on chattering audibly in <number> <number> wellington circle singapore he is arranging the biggest racial violence the world has ever seen drug addicts pseudo terrorists might be employed talks of uk citizens now	1
