post	label	language
- Final Champions League - Libertadores y Sudaca - Tour, Giro y vuelta  - Wimbledon  - Super Bowl https://t.co/lUR7OjtsiV	0	spanish
@chechechacon Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tu cv y a las justas terminaste primaria. No te hagas la santa hipocrita de cuarta	1	spanish
@NievesD36 @el_pais ¿Distingues entre una violación o entre un acoso laboral? o lo metes todo en el mismo pack?. Cuando te meten mano o te proponen en el trabajo no te ponen una navaja en el cuello. Tú eliges si es conveniente o no y de esa elección corre	0	spanish
@PrincipeVaron @_Brix__ @Re152005 @Barbijaputa @Yiyefly Coño que callados estáis 😂😂😂😂😂	0	spanish
alguien me puede avisar donde consigo un teclado en arabe-	0	spanish
Jajajajajajjajajajajajajjaa ay Dios la mujer es maldad me voy de aqui, que puta pavera.	1	spanish
@agaxiolag cállate puta! Aprende a hablar y blanqueate el hocico. #ExatlonMx	1	spanish
Mercedes y Vodafone se lían en la polémica del futbolista Özil sobre el racismo en Alemania: “Soy alemán cuando ganamos, pero un inmigrante cuando perdemos” https://t.co/imSYwzFHeB vía @eldiarioes	0	spanish
Calmados no se amontonen!!!pinches nacos frijoleros pikense el culo 🖕🏽😑 https://t.co/tn7lEhUzsE	1	spanish
@fedevigevani Cuando te conozca te pego un chicle en la cara a ver si te ves algún día bien	0	spanish
@elchiringuitotv @As_TomasRoncero #ChiringuitoKepa tu eres gilipollas roncero!! Donde está vuestra puta factoría?	0	spanish
Como me matas cuando te mueves así de lento, siento todo el recorrido y la presión de tu coño alrededor de mi polla, acaricias mi pecho, sientes mi respiración agitada, me voy a correr nena https://t.co/32P0qrpcPi	0	spanish
La moronegrada está hundiendo el país a base d ser cobradores netos d pensiones, teroristas, robar, violar, traficar, petar el sistema penitenciario,educativo,judicial y sanitario...pero lo q importa es 1 negro q dice ser ingeniero  #NosTomanPorImbéciles  https://t.co/2pR0YPtNCA	1	spanish
-¿Porque la esatua de la libertad es mujer? -Porque se nescesitaba una cabeza hueca para hacer un mirador	1	spanish
Comemela XDDD y la cara también!! 🤣🤣🤣🤣🤣 — No nos pasemos 👀 https://t.co/t3o5yHY0zb	1	spanish
@pauliboggino @soyunaforra cállate perra de mierda culona	1	spanish
Lo peor es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres	0	spanish
@_ArianaBelen Jajajaja vos cállate puta.	1	spanish
@PatricioMery @Pontifex_es Callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos	0	spanish
Eso, incompatible con ser moromierda, o musulmono. https://t.co/AMyOfhQVQy	1	spanish
Este güero anotando para mi pick de +375. Viva Dinamarca carajo https://t.co/hHVyeWIGcO	0	spanish
no entiendo eso de enseñarle la polla a cualquiera de verdad, no le encuentro el sentido	0	spanish
Me obligan a tragar polla y me mean en la cara 😮 https://t.co/8SHYnivgXa	0	spanish
@DarkGraphics_YT @IstEkoGFX @kanouraa LO MAS SATURADO ES VER MI POLLA EN TU CULO AGUJEREADO😂😂😂	0	spanish
@Valeria_Martell @NopaIep Si, estoy de acuerdo. A ningún hombre le pasaría por la cabeza que una mujer es puta por subir fotos semi desnuda. Libertad y respeto.	0	spanish
@Zabayar Lo peor de todo es que tú eres parte de la culpa de la destrucción de Venezuela hijo de la grandísima PUTA, y encima sigues siendo chavista MALPARIDO. ahora no se valen arrepentimientos tienen 18 años llevando PALO y pasando roncha y es ahorita e	0	spanish
Bronceado 2018 goals he ido al kebap y me han hablado en árabe.  ✔ misión cumplida	0	spanish
la sacaron justo a l dia siguiente del documental,por cierto excelente ,destapa la cruda realidad del inmigrante y de los q quedamos en Vzla.Madurocdtm https://t.co/btnl4GmV1V	0	spanish
Justificó la violencia a los diputados diciendo que ellos fueron a provocar, podes ser tan hijo de puta marcos peña?	0	spanish
@ash_london CALLATE PERRA LOCA CON METERTE CON LOUIS YA ES MUCHO . TE METES CON BARDERAS	1	spanish
Yo no te discuto como sacar una muela así que cállate la puta madre	0	spanish
¿para que se inventó el alcohol? para que las feas, gordas y canis perdieran la virginidad.	1	spanish
Hay mujers inteligentes, si. Son hombres que se han operado de cambio de sexo. Al revés no.	1	spanish
y a los latinos nos dicen sudacas, conquistados, e incivilizados, ¿qué cosas, no? 👀 (no todos) https://t.co/Ew6hpH5wIa	1	spanish
Me voy a pintar el pelo güero para que Alfredo me quiera	0	spanish
Los inmigrantes muestran su cara más violenta con peleas en plena calle — El Pueblo de Ceuta https://t.co/Xd26df3yhL	1	spanish
Ayer me estaba muriendo de una perra infección en la garganta y hoy me la peló, ya estoy mejor. 😎	0	spanish
@fxbianna Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida	1	spanish
JODER ME CAGO EN LA PUTA QUE ROBO RAOUL SE LO MERECÍA JODER #OTGala8	0	spanish
Se lo ha ganado a pulso, y ha sido muy comedido. Ese musulmono o se lo piensa la próxima vez. O le dan otra mayor. https://t.co/1NTIxMR11P	1	spanish
Así que tú eres el hijo de puta que se está comiendo todos los ñus... Vente que vamos a hablar https://t.co/E7H7lsvFic	0	spanish
#Repost @analorenasm with get_repost ・・・ 🌊💃🏽 besos de mezcal pa’ el Güero. ¡feliz viernes! https://t.co/mNwsnjtSlZ	0	spanish
@vibrium_ JAJAJAJAJAJA El multitasking es lo de hoy: Perra en Instagram, emo en Twitter, ridículas por Facebook y divas en WhatsApp, todo a la misma vez y sin mezclar historias.	1	spanish
@MasterofCR @Exodial0 @GuidoNJ99 Callate la puta boca resentido y la proxima ves busquen vaselina porque no queremos hijo	0	spanish
1. el desnudo siempre ha formado parte del arte 2. el arte es super relativo 3. callate la boca de una puta vez https://t.co/5eN1K4Sntq	0	spanish
Si maltratas a un animal sos un hijo de puta y te merecés vivir de la peor manera	0	spanish
@20m Lastima.... callate zorra!!!!!!!😠😠😠💩💩💩💩💩💩	1	spanish
@lauty489 Merecias ser ahogado hijo de perra pero mildis	0	spanish
Antonio Adán: Mi novia es sevillista y es una puta mas | Sevilla 3 Real ... https://t.co/Pk1TYziPU8 vía @YouTube	1	spanish
@anto07ro Siempre te hago el aguante callate, mña si perra	1	spanish
Los procesos administrativos tienen que ser rápidos para menores inmigrantes refugiades, ya que el futuro de eses menores está en juego. El día de mañana si quieren trabajar, seguirán sin esos papeles, los hombres terminarán en trabajos irregulares y las mujeres en prostitución.	0	spanish
Buenos dias, a trabajar en la fabrica para pagar a los refugiados y demas... gracias Sánchez por ser tan hijo de puta.	1	spanish
Mirna, para algunas feministas celebrarle un vestido a una mujer es acoso, ojo ahí #pautab @adnradiochile @mirnaschindler	0	spanish
@alejitacoll ... habemos muchos hombres en contra del acoso; eso sí, no todos lo expresamos desde el prejuicio sexista. Su respuesta se ganará aplausos y likes de los bienpensantes 'pero en ciertos pasajes no representa más que el extremo opuesto de la desastrosa columna de Caballero.'	0	spanish
-Mujer: Bésame una vez y te pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!	1	spanish
@mariajoarga @Paugalindo Ay cállate perra.	1	spanish
Llamar “mala puta” a una mujer es denominado “poema satírico”... Siento verdadero asco, de oír, leer y ver este tipo de ataques a diario a @InesArrimadas en los medios pro_independentistas. Necesitamos más que nunca #ahorasicambio @CiutadansCs https://t.co/2JXfZwPJWU	0	spanish
Eso demuestra que no son “refugiados” de países en guerra, sino económicos, lo q es humano, hasta q te das cuenta q si empiezan con mentiras, seguramente lo q busca es invadir no convivir! https://t.co/U8WxI3hJGU	1	spanish
@Alechaschas 12 años jugando a la Play le enseñaron bastante. Que hijo de remil puta!!!!!!	0	spanish
"""Llevamos ya 3 casos asilados de violencia de inmigrantes en la zona de Barcelona en una semana. ¿A partir de cuantos casos, dejan de considerarse """"aislados""""?"""	1	spanish
Apartas el tanga a un lado, posas mi polla en tu coño y te dejas caer despacio metiéndola entera, que placer me da sentir como aprieta tu coño durante todo el recorrido, baja nena https://t.co/EAzApav28W	0	spanish
@YolandaNeed Callate perra yo hago lo que quiero	1	spanish
me acaban aqui de enseñar al niño polla o deberia decir PRINGADO DE LA VIDA Q LO UNICO Q HA HECHO EN SU VIDA (indirectamente) ES TENER UNA POLLA GRANDE.... QUE. PUTO. ASCAZO. NIÑO.	0	spanish
@pablocasado_ y @Albert_Rivera tienen razón, los inmigrantes vienen a imponernos sus costumbres https://t.co/xstEpiBjQl	1	spanish
Yo creía que ese jueguito solo existía para los árabes, jajaja. https://t.co/dZUJ1L843d	0	spanish
@KarinaFromField Tú eres mi perra, ¿yo qué culpa?	1	spanish
acabo de ver a una señora igualita a lupita d’alessio y dije fue como OMFG IS DAT LA LEONA DORMIDA O NOMAS OTRA SEÑORA GÜERA	0	spanish
@DonniPuppo JAJJAJAJ cállate perra , me lo dijo por otra cosa no x eso	1	spanish
EL ORGULLO QUE SIENTO🏼ES INMENSO, SOS ÚNICO💙 Te lo re mereces porque sos un actorazo de la puta madre https://t.co/Q4FEJabwVX	0	spanish
AMIGOS CON TODO EL RESPETO Y CON MAS HUMOR, LES COMPARTO ESTA PUBLICIDAD DE TACOS ÁRABES Y MAS, UBICADO EN CAMINO VIEJO A LA VENTOSA, DONDE ENCONTRARA: TACOS ÁRABES TACOS ORIENTALES, TACOS DE BISTEC QUESADILLAS TLAYUDAS &lt;3 &lt;3 &lt;3 NO DEJE DE PROBARLOS.... https://t.co/OSytInAlNX	0	spanish
La policía británica permitió la violación de 1.000 niñas pobres por parte de árabes https://t.co/2uRICNLjO9 via @laotracara_co	1	spanish
@voz_populi Vete a tomar por culo gilipollas, tu Felipe tendrías q estar en la puta mina y cállate la boca!! Que no tienes ni idea aquí en España sigue estando la misma puta dictadura solamente que adornada con consumismo.	0	spanish
@rubenssambueza eres una basura de persona, lo cual no me sorprende porque eres SUDACA, y asi son los tercermundistas	1	spanish
Callate por zorra le dice Damián jajajaja	1	spanish
Teñida del orto me dice el cara de artesanía prehispánica. Seguís siendo sudaca amigo, por algo no podes irte a tu alemania natal. https://t.co/zJQwgOL4Xp	1	spanish
En Ceuta hay una montaña que simboliza todo lo que ocurre a ambos lados de la valla PERFILADA en la roca, con el busto... https://t.co/lH5kGLlkzQ	0	spanish
@Elaguijon_ Hoy toda esta escoria está callada me gustaría oírlos hablar #HDPasesinos	0	spanish
-¿Aquí es la oficina de atención contra el racismo? -Claro que sí, pásele pinche indio prieto sarrapastrozo ahorita lo atendemos, primero que pase el güero.	1	spanish
@lammothsenpai el simio fuenlabreño al cual tengo que ver más a menudo. Eres un tío de puta madre y te mereces lo mejor del mundo. Espero que en 2018 te vaya todo de lujo y empieces por la puerta grande.	0	spanish
@BoffeGoals CALLATE QUE MAÑANA NOS VEMOS PERRA	1	spanish
@TiaFeminazi Y lo que no es la voz, ¿Eh? ¡Movimiento SEMEN!	0	spanish
Me pone mal verte mal, pero no por mi, sino por vos, LA PUTA MADRE TE mereces el cielo no te quedes en una nube sola.	0	spanish
600 manteros saltaron la valla en Ceuta el otro día. https://t.co/VErAmkEW5b	0	spanish
Pedimos picada árabe? 3 palabras, 1 corazón feliz	0	spanish
@JordiWild Que te calles ya pesao... ACEPTALO DE UNA PUTA VEZ Y dejalo ya en el pasado pide disculpas y ya conbio	0	spanish
@LucasSpadafora Lucas callate que no lees dm nunca la puta que te pario ahre	0	spanish
Cómo me atraen las güeras 🤤	0	spanish
pero callate puta no nos vemos hace meses y ahora que me voy me querés ver ME CAES MAL AGUSTINA https://t.co/PnQkCwktmY	1	spanish
@edward18jgm @PunishedLivinx Tu eres el gilipollas que no has tocado un libro de historia en tu puta vida y vas de listo sin saber de lo que hablas	0	spanish
¿Esto podría explicar el brutismo caribeño y el subsahariano? ¿Habrá correlación?  Extreme heat linked with reduced cognitive performance among young adults in non-air-conditioned buildings: https://t.co/hRcb6n7jHQ	1	spanish
Me encantaria darte unas nalgadas ricas ❤ — A mí me encantaría pegarte una hostia en la cara https://t.co/rUKwwVXlxm	0	spanish
Porque las mujeres ven las peliculas porno enteras? -Porque se creen que al final se van a casar o algo.	1	spanish
Porque andan llamando gata, zorra o puta a baekhyun si es hombre, manga de ridiculas	0	spanish
es una chinguita hacer tamales', refunfuña mi sirvienta la diódora. 'cállate o te van a salir agrios', le digo... bueno, para qué les cuento a ustedes fresitas que fueron a la universidad, qué van a saber de hacer tamales 😂	0	spanish
Esa gente insultando y condenando al asesino de Diana Quer pero que luego le quitan importancia al acoso, violación y maltrato a la mujer...	0	spanish
@Ndemoniado @Zurine3 Coño hay una GRAN cantidad de vídeos porno amateur y son bastante buscados la verdad, porque son chicas 'normales', la gente se imagina su vecina, su amiga, etc. Bueno, pero ¿que tiene que ver? Habláis del porno como tal no de sus cir	0	spanish
@ClaMoralesM No nos confundamos, muchas mujeres posan de victimas de acoso solo con una mirada, ridículas; ¿estas se habrán comparado con lo que sufrieron las guerrilleras en las Farc por ejemplo?	1	spanish
Venga si comemela xddd	0	spanish
@delockkke Cállate puta Katy Perri de los xiniyos (y nunca mejor dicho)	1	spanish
Ingles y árabe https://t.co/jlqTajKLXq	0	spanish
@Micaela2907 JAJAJAJAJAJA callate Mica zorra	1	spanish
@bot_11109 @elchiringuitotv @Borjamazarro8 Uno mas imbécil dirás,hasta la polla ya estaba la gente con las payasadas de Alves y neymar...	0	spanish
"""Si Dios maldijo a Eva porque se comió una manzana, imagínense lo que va a hacer cuando se entere de que andan de """"borrachas"""" y de """"putas"""" todos los fines de semana.  LAMENTABLE."""	0	spanish
@NickAsio1 como estáis tan evolucionados culturalmente le recordais a cualquiera cuales son las normas cívicas. Españoles, negros y árabes sin excepcion, yo no he visto españoles poniendo pies en asientos. Negros y árabes bastantes.	1	spanish
QUE NO SON NI LAS OCHO DE LA MAÑANA, CALLATE Y ECHATE A DORMIR EN VEZ DE HABLAR DE LA PUTA ESPICHA.	0	spanish
@PSOE y @ahorapodemos están deseosos de ayudar a los moromierdas que llegan en oleadas a violar todas las mujeres y niños que puedan. Y oye, si se legaliza mejor, ¿eh @sanchezcastejon @ManuelaCarmena ? EL PROBLEMA ES QUE ESTO NUNCA LES PASA A SUS HIJOS Y NIETOS. LASTIMA! https://t.co/Ro8kL0MNPM	1	spanish
El Director General de la Guardia Civil recorrerá esta tarde la valla que fue asaltada en Ceuta. ¡¡¡ A BUENAS HORAS, MANGAS VERDES !!!	0	spanish
@laLauusrobles Tu eres zorra amiga jajajajajajajaja	0	spanish
ODIAME ERO AL MIRARTE A UN ESPEJO RECUERDA YO SOY AGIL Y ATRACTIVA TU ERES UNA PUTA CERDA😁😁😁	1	spanish
@letra_escarlata @Pepe_Tron_B_M @anaisbernal @20m Y estos son los hijos de puta que van a luchar contra la violencia que ejercen contra las mujeres. Es que no me troncho porque NO TIENE NI PUTA GRACIA 😡😡😡	0	spanish
@spitfireXxX77 Si yo soy nazi, tu eres un hijo de puta	0	spanish
Lo malo del tema de acosos sexual que se da en TODOS lados… es simple… abuso físico, violación o coacción son un delito… PERO!!! El coqueteo insistente o torpe no lo es, ni es la caballerosidad una agresión machista… Pero la exageración sensacionalista es lo de hoy ¿no?	0	spanish
ICE le da gran prioridad a la lucha contra la inmigración ilegal, incluyendo la búsqueda de extranjeros #indocumentados con antecedentes penales que presentan una amenaza para la seguridad pública https://t.co/y0Af1LVSXi https://t.co/YAfqZYJgSg	0	spanish
Queria charlar de algo, yo soy feminista, siempre que una victima habla de algun abuso, acoso o violacion que sufrio no le cues... — es complicado porque me esta pasando lo mismo con mi viejo, la ex lo esta acusando de cosas que s... https://t.co/cHCbfVr6CP	0	spanish
De regreso al trabajo. En cancha para Univisión Deportes en el América vs Veracruz.  Se acabó hasta la melena güera. Ahí nos escuchamos, hermanos 🙌🏻 https://t.co/kuXY36rfOM	0	spanish
@cirovitale__ yo se q soy la persona indicada para estos momentos, no te lo mereces, pero sos mi hermano hijo de mil puta, ahi t hablo	0	spanish
Hablemos de la paliza al turista americano por manteros subsaharianos , esos que entran echando cal viva a la guardia civil  ... no mejor volvemos a lo de Franco que fue muy malo y evitó muchas checas y gulags si no llega a levantarse en esa anárquica España #l6nveranofranco	1	spanish
@YazElias Callate que vos ni rollos tienes che puta	1	spanish
Quieroite un lomito arabe com salsa de ajo	0	spanish
La introducción de los discursos de disculpa de los acusados de acoso sexual este año: https://t.co/RMiRzxmb0Z	0	spanish
En este país, lo que hay que hacer de una puñetera vez, es que todo ilegal (sin papeles) sea deportado a su país de una vez. Ya vale de tanto buenismo y ayudas a inmigrantes antes que a los propios Españoles. https://t.co/yqWoWe40ae	1	spanish
Llegarán en masa a Cartagena. De nosotros y nuestros gobernantes depende dar con la verdadera solución natural, los #camposdeautogestión de refugiados https://t.co/DP4JEeYl13 o dar paso a una invasión en toda regla en nuestras calles y la confrontación social de extremistas https://t.co/2cabgB9aTn	1	spanish
una chica dijo que no le gustaron los chistes sobre acoso y violación en el video de Rubén y esto le contestaban algunos de sus fans https://t.co/F2SKl21D4B	0	spanish
La zorra se queda callada porque sabe que mi combo es puro power 🔥	1	spanish
@ignaciodover comemela hso y si cojemos ahi nomas no pasa nada ahre	0	spanish
@suicideroom22 Cállate que la que clava el visto sos vos Zorra 💔	1	spanish
@JoeelSsj comemela lindo JAJAJA	0	spanish
No son subsaharianos, son Negros. Que yo sepa, Sudán y Níger están en el Sáhara. #FronterasSeguras	1	spanish
El inmigrante que se queja del inmigrante que se queja del inmigrante ... y así hasta el infinito. https://t.co/0js3tanLyU	0	spanish
Te puedo tener todo el respeto del mundo, pero esque con una puta voz que me des ya no te lo mereces. Entenderlo respeto por respeto.	0	spanish
El asesinato se hace en nombre del Antifascismo. Imbeciles como tú @CristinaSegui_ hacen que esta escoria crezca. https://t.co/OyzI8cYc0C	0	spanish
@lopezdoriga @dparamooficial Cállate zorra priista	1	spanish
Mira @chandlerriggs en un futuro busca trabajos en los que te quieran pORQUE NO MERECES ESTA PUTA MIERDA DE TRATO	0	spanish
"""Transparencia Venezuela Cuando un indocumentado pasa de reposero y chocador de autobuses del metro a """"manejar"""" la política económica del país que hugo chávez ya había destruido, tenemos el resultado de la Vzla completamente destruida."""	1	spanish
Ultra pendeja este ciudadano común, teatro le bajo pelotudis, esposelo y 6 horas al calabozo..   Vago indocumentado... https://t.co/MhD226N2rT	1	spanish
Brigada humanitaria lleva agua a inmigrantes que cruzan desierto https://t.co/JFm9rAZZPl	0	spanish
Muchas personas creen q una mujer es abusada o acosada por ir muy descubierta, pero yo he visto acoso a mujeres por lo contrario también, mujeres cuya religión o creencias son otras y son acosadas por eso. Eso demuestra q hay un standard tácito d mujer, y q se espera sea cubierto	0	spanish
JACKIE Y HYDE MERECIAN ESTAR JUNTOS LA PUTA MADRE QUIERO ROMPER TODO	0	spanish
"""Reino Unido cero cristianos entre los 1,112 sirios """"refugiados"""" reubicados en esd pais en lo que va de año, en 2017 solo reibicaron a 11. Una clara predisposición a favor de supremacistas fundamentalistas islámicos. Absurdo y suicida. https://t.co/LrqIvXerYX"""	1	spanish
¡BUENO Y TU ERES UNA PUTA ARRASTRADA! Laidy Gómez cargó contra Guanipa y lo tachó de 'divisionista' https://t.co/oWWzD7N17m vía @maduradascom	1	spanish
@Ark_antos Y por qué el.peor insulto que se te ocurre contra una mujer es puta?? Es mucho peor ser violador y/o asesino. Siendo putas sólo perdemos nosotras... Pero, ahí está, el machismo cultural. 'Eh, q yo no soy racista, q tengo un amigo negro'.	0	spanish
Del árbol del silencio pende el fruto de la seguridad-Proverbio Árabe	0	spanish
cuando no tengo a nico mi novia es mi perra https://t.co/29fdEJWVjN	1	spanish
Estoy FLIPANDO. Le estaba diciendo a este chico que mi padre pegaba e insultaba a mi madre, que tiene dos denuncias por violencia de género y órdenes de alejamiento y se puso a decirme que él jamás pensaría que la mujer tiene razón, que si eso me pasó a mí es porque soy árabe https://t.co/JERLbuZynK	1	spanish
El acoso sexual empieza a destaparse en la industria musical: poderoso magnate acusado de violación por varias ... https://t.co/g8ZpzWEWeS	0	spanish
Estoy haciendo el check-in a una muchacha de los Emiratos Árabes. Ella: ese tatuaje es árabe, ¿no?  Yo: sí 😨 (yo pensando pa dentro: por Dios y por Alá que el significado sea lo que yo quería 😰) Ella: es tal (una palabra rara en árabe) Yo: 🤨 Me la dice en inglés y yo: ¡Sí! 😅	0	spanish
No puedo con lo que dice la canción de ‘que perra mi amiga’: y tú eres perra, ládrame 😂	1	spanish
@FakuuFlores No todos tenemos tus mañas zorra	1	spanish
@heavenskarIa Deja de provocarme maldita perra	1	spanish
Joder Nagore cállate de una puta vez pesada de los cojones ay dios la odio por qué tan tonta diooos espero que no me denuncie y vaya a la cárcel por esto Nagore vete a llorar al Deluxe por tu nariz #myhyv	0	spanish
